IDArtefact	txtCountry	refIDSite	txtSite	refIDFeature	txtType_of_Feature	txtFeature	refIDShape	txtIDShape	txtShape	txtPosition	dblWidth_in_cm	dblLength_in_cm	dblHeight_in_cm	dblInner_diameter_in_cm	dblDiameter_in_cm	txtCommentary	dblLatitude	dblLongitude
13973	Austria	492	Asparn an der Zaya-Schletz	418	Grave	19	21	B111	Bracelet, complete	left forearm							48.587222	16.494444
16890	Austria	107	Eggenburg	531	Grave	I	190	B4352	Pendant, recycled ring, bent, double pierced	head	1.3	13		0.5			48.643056	15.816111
16891	Austria	107	Eggenburg	531	Grave	I	190	B4352	Pendant, recycled ring, bent, double pierced	head	1.5	14.4					48.643056	15.816111
16892	Austria	107	Eggenburg	531	Grave	I	113	B333	Bead, necklace, elongated	head	0.9	2.8		0.4			48.643056	15.816111
16893	Austria	107	Eggenburg	531	Grave	I	189	B4351	Pendant, recycled ring, bent, single pierced	head	1.7	14.6		0.4			48.643056	15.816111
16894	Austria	107	Eggenburg	531	Grave	I	112	B332	Bead, necklace, nodular	head	1	1.1		0.5			48.643056	15.816111
16895	Austria	107	Eggenburg	531	Grave	I	189	B4351	Pendant, recycled ring, bent, single pierced	head	1.5	12.5		0.5			48.643056	15.816111
16896	Austria	107	Eggenburg	531	Grave	I	114	B334	Bead, necklace, disc-shaped	head	1	0.8		0.5			48.643056	15.816111
16897	Austria	107	Eggenburg	531	Grave	I	190	B4352	Pendant, recycled ring, bent, double pierced	head	0.9	9.4		0.4			48.643056	15.816111
16898	Austria	107	Eggenburg	531	Grave	I	114	B334	Bead, necklace, disc-shaped	head	1.1	0.9		0.5			48.643056	15.816111
16899	Austria	107	Eggenburg	531	Grave	I	189	B4351	Pendant, recycled ring, bent, single pierced	head	1.3	8.8		0.4			48.643056	15.816111
16900	Austria	107	Eggenburg	531	Grave	I	114	B334	Bead, necklace, disc-shaped	head	1	0.9		0.6			48.643056	15.816111
16901	Austria	107	Eggenburg	531	Grave	I	189	B4351	Pendant, recycled ring, bent, single pierced	head	1.2	8.9		0.4			48.643056	15.816111
16902	Austria	107	Eggenburg	531	Grave	I	114	B334	Bead, necklace, disc-shaped	head	1.1	0.8		0.5			48.643056	15.816111
16903	Austria	107	Eggenburg	531	Grave	I	189	B4351	Pendant, recycled ring, bent, single pierced	head	0.9	8.6		0.5			48.643056	15.816111
16904	Austria	107	Eggenburg	531	Grave	I	114	B334	Bead, necklace, disc-shaped	head	1	0.7		0.4			48.643056	15.816111
16905	Austria	107	Eggenburg	531	Grave	I	189	B4351	Pendant, recycled ring, bent, single pierced	head	0.8	6.6					48.643056	15.816111
16906	Austria	107	Eggenburg	531	Grave	I	113	B333	Bead, necklace, elongated	head	0.9	2.2		0.5			48.643056	15.816111
16907	Austria	107	Eggenburg	531	Grave	I	189	B4351	Pendant, recycled ring, bent, single pierced	head	1.3	11.8		0.6			48.643056	15.816111
16908	Austria	107	Eggenburg	531	Grave	I	114	B334	Bead, necklace, disc-shaped	head	1.1	0.9		0.5			48.643056	15.816111
16909	Austria	107	Eggenburg	531	Grave	I	189	B4351	Pendant, recycled ring, bent, single pierced	head	1.1	11.7		0.4			48.643056	15.816111
16910	Austria	107	Eggenburg	531	Grave	I	114	B334	Bead, necklace, disc-shaped	head	1	0.8		0.6			48.643056	15.816111
16911	Austria	107	Eggenburg	531	Grave	I	189	B4351	Pendant, recycled ring, bent, single pierced	head	0.9	10.8		0.7			48.643056	15.816111
16912	Austria	107	Eggenburg	531	Grave	I	114	B334	Bead, necklace, disc-shaped	head	0.9	0.8		0.4			48.643056	15.816111
16913	Austria	107	Eggenburg	531	Grave	I	189	B4351	Pendant, recycled ring, bent, single pierced	head	1.8	8.7		0.5			48.643056	15.816111
16914	Austria	107	Eggenburg	531	Grave	I	114	B334	Bead, necklace, disc-shaped	head	1	0.7		0.4			48.643056	15.816111
16915	Austria	107	Eggenburg	531	Grave	I	189	B4351	Pendant, recycled ring, bent, single pierced	head	1.3	9.3		0.4			48.643056	15.816111
16916	Austria	107	Eggenburg	531	Grave	I	114	B334	Bead, necklace, disc-shaped	head	1	0.8		0.4			48.643056	15.816111
16917	Austria	107	Eggenburg	531	Grave	I	189	B4351	Pendant, recycled ring, bent, single pierced	head	0.5	8.3		0.4			48.643056	15.816111
16918	Austria	107	Eggenburg	531	Grave	I	114	B334	Bead, necklace, disc-shaped	head	1.1	0.7		0.5			48.643056	15.816111
16919	Austria	107	Eggenburg	531	Grave	I	189	B4351	Pendant, recycled ring, bent, single pierced	head	1.7	8.4		0.5			48.643056	15.816111
16920	Austria	107	Eggenburg	531	Grave	I	24	B1112	Bracelet, complete, wide		8.7	9.3	1.9	6.6			48.643056	15.816111
16921	Austria	107	Eggenburg	531	Grave	I	24	B1112	Bracelet, complete, wide		9	9.7	1.4	7.1			48.643056	15.816111
16923	Austria	107	Eggenburg	532	Grave	II	190	B4352	Pendant, recycled ring, bent, double pierced	head	0.7	7.8		0.4			48.643056	15.816111
16924	Austria	107	Eggenburg	532	Grave	II	113	B333	Bead, necklace, elongated		1	1.3		0.5			48.643056	15.816111
16925	Austria	107	Eggenburg	532	Grave	II	189	B4351	Pendant, recycled ring, bent, single pierced		1	7.5		0.5			48.643056	15.816111
16926	Austria	107	Eggenburg	532	Grave	II	114	B334	Bead, necklace, disc-shaped		1	1.2		0.4			48.643056	15.816111
16927	Austria	107	Eggenburg	532	Grave	II	190	B4352	Pendant, recycled ring, bent, double pierced		0.9	7.6		0.4			48.643056	15.816111
16928	Austria	107	Eggenburg	532	Grave	II	114	B334	Bead, necklace, disc-shaped		1	1.1		0.5			48.643056	15.816111
16929	Austria	107	Eggenburg	532	Grave	II	114	B334	Bead, necklace, disc-shaped		1	0.9		0.5			48.643056	15.816111
16930	Austria	107	Eggenburg	532	Grave	II	114	B334	Bead, necklace, disc-shaped		1	0.9		0.5			48.643056	15.816111
16931	Austria	107	Eggenburg	532	Grave	II	114	B334	Bead, necklace, disc-shaped		1	0.6		0.5			48.643056	15.816111
16932	Austria	107	Eggenburg	532	Grave	II	114	B334	Bead, necklace, disc-shaped		1	0.6		0.5			48.643056	15.816111
16933	Austria	107	Eggenburg	532	Grave	II	113	B333	Bead, necklace, elongated		1	1.4		0.5			48.643056	15.816111
16934	Austria	107	Eggenburg	532	Grave	II	190	B4352	Pendant, recycled ring, bent, double pierced		1.3	7.5		0.4			48.643056	15.816111
16935	Austria	107	Eggenburg	532	Grave	II	113	B333	Bead, necklace, elongated		1.1	1.4		0.5			48.643056	15.816111
16936	Austria	107	Eggenburg	532	Grave	II	190	B4352	Pendant, recycled ring, bent, double pierced		0.4	4.4		0.4			48.643056	15.816111
16937	Austria	107	Eggenburg	532	Grave	II	114	B334	Bead, necklace, disc-shaped		1	1.2		0.5			48.643056	15.816111
16938	Austria	107	Eggenburg	532	Grave	II	114	B334	Bead, necklace, disc-shaped		1.3	1.2		0.6			48.643056	15.816111
16939	Austria	107	Eggenburg	532	Grave	II	114	B334	Bead, necklace, disc-shaped		1	0.9		0.5			48.643056	15.816111
16940	Austria	107	Eggenburg	532	Grave	II	114	B334	Bead, necklace, disc-shaped		1	0.8		0.5			48.643056	15.816111
16941	Austria	107	Eggenburg	532	Grave	II	114	B334	Bead, necklace, disc-shaped		1	0.8		0.5			48.643056	15.816111
16942	Austria	107	Eggenburg	532	Grave	II	114	B334	Bead, necklace, disc-shaped		1.1	0.8		0.5			48.643056	15.816111
16943	Austria	107	Eggenburg	532	Grave	II	107	B324	Bead, armring, disc-shaped		1	0.9		0.5			48.643056	15.816111
16945	Austria	107	Eggenburg	532	Grave	II	107	B324	Bead, armring, disc-shaped		1.1	0.9		0.6			48.643056	15.816111
16946	Austria	107	Eggenburg	532	Grave	II	107	B324	Bead, armring, disc-shaped		1.1	1		0.6			48.643056	15.816111
16947	Austria	107	Eggenburg	532	Grave	II	107	B324	Bead, armring, disc-shaped		1	0.9		0.5			48.643056	15.816111
16948	Austria	107	Eggenburg	532	Grave	II	107	B324	Bead, armring, disc-shaped		0.9	1		0.4			48.643056	15.816111
16949	Austria	107	Eggenburg	532	Grave	II	107	B324	Bead, armring, disc-shaped		1.1	0.9		0.5			48.643056	15.816111
16950	Austria	107	Eggenburg	532	Grave	II	106	B323	Bead, armring, elongated		0.9	1.3		0.5			48.643056	15.816111
16951	Austria	107	Eggenburg	532	Grave	II	106	B323	Bead, armring, elongated		0.9	1.2		0.5			48.643056	15.816111
16952	Austria	107	Eggenburg	532	Grave	II	107	B324	Bead, armring, disc-shaped		1.1	0.9		0.6			48.643056	15.816111
16953	Austria	107	Eggenburg	532	Grave	II	107	B324	Bead, armring, disc-shaped		1	1.2		0.4			48.643056	15.816111
16954	Austria	107	Eggenburg	532	Grave	II	107	B324	Bead, armring, disc-shaped		1.1	0.9		0.5			48.643056	15.816111
16955	Austria	107	Eggenburg	532	Grave	II	107	B324	Bead, armring, disc-shaped		1.1	1.3		0.5			48.643056	15.816111
16956	Austria	107	Eggenburg	532	Grave	II	105	B322	Bead, armring, nodular		1	1.1		0.5			48.643056	15.816111
16957	Austria	107	Eggenburg	532	Grave	II	107	B324	Bead, armring, disc-shaped		1.5	1.1		0.6			48.643056	15.816111
16958	Austria	107	Eggenburg	532	Grave	II	107	B324	Bead, armring, disc-shaped		1	0.8		0.5			48.643056	15.816111
16959	Austria	107	Eggenburg	532	Grave	II	106	B323	Bead, armring, elongated		0.9	1.4		0.5			48.643056	15.816111
15735	Austria	495	Hankenfeld-Saladorf	478	Grave	undetermined	148	B402	Pendant, teardrop-shaped								48.255278	15.860278
16966	Austria	113	Kleinhadersdorf	534	Grave	1c	26	B112	Bracelet, fragmented								48.664167	16.59
16971	Austria	113	Kleinhadersdorf	535	Grave	3	24	B1112	Bracelet, complete, wide		8	10.2		4.7			48.664167	16.59
16972	Austria	113	Kleinhadersdorf	535	Grave	3	100	B313	Bead, without context, elongated		0.9	1.4		0.5			48.664167	16.59
13945	Austria	488	Maissau	415	Grave	2154	100	B313	Bead, without context, elongated	chest/shoulder							48.566667	15.816667
13946	Austria	488	Maissau	415	Grave	2154	100	B313	Bead, without context, elongated	chest/shoulder							48.566667	15.816667
16961	Austria	115	Pulkau	533	Grave	undetermined	100	B313	Bead, without context, elongated		1.2	3.3					48.7	15.85
16962	Austria	115	Pulkau	533	Grave	undetermined	192	B4371	Pendant, recycled ring, atypical, single pierced		3.2	9.1	3.2			Can also be a broken bracelet.	48.7	15.85
15584	Austria	335	Rutzing	469	Grave	4	21	B111	Bracelet, complete								48.23646	14.204167
15585	Austria	335	Rutzing	470	Grave	9	40	B21	V-Klappe	hip							48.23646	14.204167
15710	Austria	335	Rutzing	472	Grave	13	113	B333	Bead, necklace, elongated	head							48.23646	14.204167
15711	Austria	335	Rutzing	472	Grave	13	113	B333	Bead, necklace, elongated	head							48.23646	14.204167
15714	Austria	335	Rutzing	472	Grave	13	40	B21	V-Klappe	hip							48.23646	14.204167
15722	Austria	335	Rutzing	473	Grave	16	21	B111	Bracelet, complete								48.23646	14.204167
15723	Austria	335	Rutzing	474	Grave	18	110	B33	Bead, necklace	head							48.23646	14.204167
15724	Austria	335	Rutzing	474	Grave	18	110	B33	Bead, necklace	head							48.23646	14.204167
15727	Austria	335	Rutzing	475	Grave	24	110	B33	Bead, necklace	head							48.23646	14.204167
15728	Austria	335	Rutzing	475	Grave	24	110	B33	Bead, necklace	head							48.23646	14.204167
15733	Austria	335	Rutzing	476	Grave	31	149	B403	Pendant, disc-shaped	hip							48.23646	14.204167
15734	Austria	335	Rutzing	477	Grave	33	100	B313	Bead, without context, elongated								48.23646	14.204167
16974	Austria	118	Taborac (Draßburg)	536	Pit	9a	26	B112	Bracelet, fragmented			6.5					47.746111	16.488056
16975	Austria	118	Taborac (Draßburg)	537	Single find	undetermined	100	B313	Bead, without context, elongated		1.4	6.6		0.5			47.746111	16.488056
16031	Austria	338	Winden am See	511	Surface find	undetermined	200	B598	Spondylus, piece, bent		2.4	6				Used either as a bracelet or pendant.	47.95	16.75
17307	Bosnia and Herzegovina	242	Obre I	572	Layer	2	216	B521	Semifinished product								44.1009	18.13611
17278	Bosnia and Herzegovina	243	Obre II	569	Layer	2	147	B4	Pendant							Pendant mostly round.	44.10035	18.13808
17279	Bosnia and Herzegovina	243	Obre II	569	Layer	2	147	B4	Pendant							Pendant mostly round.	44.10035	18.13808
17280	Bosnia and Herzegovina	243	Obre II	569	Layer	2	147	B4	Pendant							Pendant mostly round.	44.10035	18.13808
17281	Bosnia and Herzegovina	243	Obre II	569	Layer	2	147	B4	Pendant							Pendant mostly round.	44.10035	18.13808
17282	Bosnia and Herzegovina	243	Obre II	569	Layer	2	147	B4	Pendant							Pendant mostly round.	44.10035	18.13808
17283	Bosnia and Herzegovina	243	Obre II	569	Layer	2	97	B31	Bead, without context								44.10035	18.13808
17284	Bosnia and Herzegovina	243	Obre II	569	Layer	2	97	B31	Bead, without context								44.10035	18.13808
17285	Bosnia and Herzegovina	243	Obre II	569	Layer	2	97	B31	Bead, without context								44.10035	18.13808
17286	Bosnia and Herzegovina	243	Obre II	569	Layer	2	97	B31	Bead, without context								44.10035	18.13808
17287	Bosnia and Herzegovina	243	Obre II	569	Layer	2	97	B31	Bead, without context								44.10035	18.13808
17288	Bosnia and Herzegovina	243	Obre II	569	Layer	2	97	B31	Bead, without context								44.10035	18.13808
17289	Bosnia and Herzegovina	243	Obre II	570	Layer	3	147	B4	Pendant								44.10035	18.13808
17290	Bosnia and Herzegovina	243	Obre II	570	Layer	3	147	B4	Pendant								44.10035	18.13808
17291	Bosnia and Herzegovina	243	Obre II	570	Layer	3	97	B31	Bead, without context								44.10035	18.13808
17292	Bosnia and Herzegovina	243	Obre II	570	Layer	3	97	B31	Bead, without context								44.10035	18.13808
17293	Bosnia and Herzegovina	243	Obre II	570	Layer	3	97	B31	Bead, without context								44.10035	18.13808
17294	Bosnia and Herzegovina	243	Obre II	570	Layer	3	97	B31	Bead, without context								44.10035	18.13808
17295	Bosnia and Herzegovina	243	Obre II	570	Layer	3	97	B31	Bead, without context								44.10035	18.13808
17296	Bosnia and Herzegovina	243	Obre II	570	Layer	3	97	B31	Bead, without context								44.10035	18.13808
17297	Bosnia and Herzegovina	243	Obre II	570	Layer	3	97	B31	Bead, without context								44.10035	18.13808
17298	Bosnia and Herzegovina	243	Obre II	570	Layer	3	97	B31	Bead, without context								44.10035	18.13808
17299	Bosnia and Herzegovina	243	Obre II	571	undetermined	undetermined	97	B31	Bead, without context								44.10035	18.13808
17300	Bosnia and Herzegovina	243	Obre II	571	undetermined	undetermined	145	B251	Button, round								44.10035	18.13808
17301	Bosnia and Herzegovina	243	Obre II	571	undetermined	undetermined	26	B112	Bracelet, fragmented								44.10035	18.13808
17302	Bosnia and Herzegovina	243	Obre II	571	undetermined	undetermined	26	B112	Bracelet, fragmented								44.10035	18.13808
17303	Bosnia and Herzegovina	243	Obre II	571	undetermined	undetermined	26	B112	Bracelet, fragmented								44.10035	18.13808
17304	Bosnia and Herzegovina	243	Obre II	571	undetermined	undetermined	26	B112	Bracelet, fragmented								44.10035	18.13808
17305	Bosnia and Herzegovina	243	Obre II	571	undetermined	undetermined	216	B521	Semifinished product								44.10035	18.13808
17306	Bosnia and Herzegovina	243	Obre II	571	undetermined	undetermined	26	B112	Bracelet, fragmented								44.10035	18.13808
11	Bulgaria	7	Durankulak	12	Grave	2	24	B1112	Bracelet, complete, wide	left forearm	6.9	7.2	3.4		5		43.7	28.516667
56	Bulgaria	7	Durankulak	17	Grave	18	106	B323	Bead, armring, elongated	head	0.7	1.8					43.7	28.516667
57	Bulgaria	7	Durankulak	17	Grave	18	106	B323	Bead, armring, elongated	head	0.6	1.2					43.7	28.516667
58	Bulgaria	7	Durankulak	17	Grave	18	106	B323	Bead, armring, elongated	head	0.6	1.8					43.7	28.516667
59	Bulgaria	7	Durankulak	17	Grave	18	106	B323	Bead, armring, elongated	head	0.6	1.7					43.7	28.516667
60	Bulgaria	7	Durankulak	17	Grave	18	106	B323	Bead, armring, elongated	head	0.6	1.2					43.7	28.516667
61	Bulgaria	7	Durankulak	17	Grave	18	106	B323	Bead, armring, elongated	head	0.6	1.4					43.7	28.516667
197	Bulgaria	7	Durankulak	26	Grave	98	24	B1112	Bracelet, complete, wide								43.7	28.516667
231	Bulgaria	7	Durankulak	30	Grave	134	212	B514	Shell, particle								43.7	28.516667
235	Bulgaria	7	Durankulak	32	Grave	149	24	B1112	Bracelet, complete, wide	left upper arm	8.6	9.8	2.1	7.8			43.7	28.516667
236	Bulgaria	7	Durankulak	33	Grave	156	24	B1112	Bracelet, complete, wide	left upper arm		10	3.3				43.7	28.516667
237	Bulgaria	7	Durankulak	33	Grave	156	24	B1112	Bracelet, complete, wide	right upper arm		9.2	2.6				43.7	28.516667
17536	Bulgaria	7	Durankulak	601	Cenotaph	186A	24	B1112	Bracelet, complete, wide								43.7	28.516667
17537	Bulgaria	7	Durankulak	601	Cenotaph	186A	24	B1112	Bracelet, complete, wide								43.7	28.516667
17547	Bulgaria	7	Durankulak	602	Grave	192	104	B32	Bead, armring	right forearm							43.7	28.516667
17548	Bulgaria	7	Durankulak	602	Grave	192	104	B32	Bead, armring	right forearm							43.7	28.516667
17549	Bulgaria	7	Durankulak	603	Grave	597A	26	B112	Bracelet, fragmented								43.7	28.516667
17550	Bulgaria	7	Durankulak	603	Grave	597A	100	B313	Bead, without context, elongated		0.7	1.3					43.7	28.516667
17551	Bulgaria	7	Durankulak	603	Grave	597A	100	B313	Bead, without context, elongated		0.6	2.4					43.7	28.516667
17552	Bulgaria	7	Durankulak	603	Grave	597A	100	B313	Bead, without context, elongated		0.5	1.6					43.7	28.516667
17558	Bulgaria	7	Durankulak	604	Grave	602	101	B314	Bead, without context, disc-shaped		0.4	0.8					43.7	28.516667
17559	Bulgaria	7	Durankulak	604	Grave	602	100	B313	Bead, without context, elongated		0.5	1.1					43.7	28.516667
17560	Bulgaria	7	Durankulak	604	Grave	602	101	B314	Bead, without context, disc-shaped		0.4	0.8					43.7	28.516667
17561	Bulgaria	7	Durankulak	604	Grave	602	100	B313	Bead, without context, elongated		0.6	1					43.7	28.516667
17562	Bulgaria	7	Durankulak	604	Grave	602	101	B314	Bead, without context, disc-shaped		0.6	0.4					43.7	28.516667
17567	Bulgaria	7	Durankulak	605	Grave	604	106	B323	Bead, armring, elongated	left forearm	0.7	1.8		0.2			43.7	28.516667
17598	Bulgaria	7	Durankulak	606	Grave	606	113	B333	Bead, necklace, elongated	chest/shoulder	0.6	1.4		0.2			43.7	28.516667
17599	Bulgaria	7	Durankulak	606	Grave	606	113	B333	Bead, necklace, elongated	chest/shoulder	0.7	2.4		0.2			43.7	28.516667
17600	Bulgaria	7	Durankulak	606	Grave	606	114	B334	Bead, necklace, disc-shaped	chest/shoulder	0.4	0.9		0.2			43.7	28.516667
17601	Bulgaria	7	Durankulak	606	Grave	606	113	B333	Bead, necklace, elongated	chest/shoulder	0.5	1		0.2			43.7	28.516667
17602	Bulgaria	7	Durankulak	606	Grave	606	113	B333	Bead, necklace, elongated	chest/shoulder	0.4	1.1		0.2			43.7	28.516667
17603	Bulgaria	7	Durankulak	606	Grave	606	110	B33	Bead, necklace	chest/shoulder							43.7	28.516667
17608	Bulgaria	7	Durankulak	607	Cenotaph	606A	24	B1112	Bracelet, complete, wide								43.7	28.516667
17609	Bulgaria	7	Durankulak	607	Cenotaph	606A	24	B1112	Bracelet, complete, wide								43.7	28.516667
17610	Bulgaria	7	Durankulak	607	Cenotaph	606A	100	B313	Bead, without context, elongated		0.6	3.2					43.7	28.516667
17614	Bulgaria	7	Durankulak	608	Grave	607	30	B1123	Bracelet, fragmented, elongated or wide	head		7.5	3.1	5.6			43.7	28.516667
17638	Bulgaria	7	Durankulak	609	Grave	611	113	B333	Bead, necklace, elongated	head	0.5	2.2					43.7	28.516667
17640	Bulgaria	7	Durankulak	609	Grave	611	128	B363	Bead, torso, elongated	chest/shoulder	0.5	1.9					43.7	28.516667
17641	Bulgaria	7	Durankulak	609	Grave	611	128	B363	Bead, torso, elongated	chest/shoulder	0.6	2.4					43.7	28.516667
17642	Bulgaria	7	Durankulak	609	Grave	611	128	B363	Bead, torso, elongated	chest/shoulder	0.6	2					43.7	28.516667
17643	Bulgaria	7	Durankulak	609	Grave	611	128	B363	Bead, torso, elongated	chest/shoulder	0.6	1.8					43.7	28.516667
17644	Bulgaria	7	Durankulak	609	Grave	611	128	B363	Bead, torso, elongated	chest/shoulder	0.5	1.8					43.7	28.516667
17645	Bulgaria	7	Durankulak	609	Grave	611	128	B363	Bead, torso, elongated	chest/shoulder	0.4	1.7					43.7	28.516667
17646	Bulgaria	7	Durankulak	609	Grave	611	128	B363	Bead, torso, elongated	chest/shoulder	0.4	2					43.7	28.516667
17647	Bulgaria	7	Durankulak	609	Grave	611	128	B363	Bead, torso, elongated	chest/shoulder	0.4	1.6					43.7	28.516667
17648	Bulgaria	7	Durankulak	609	Grave	611	128	B363	Bead, torso, elongated	chest/shoulder	0.4	1.8					43.7	28.516667
17649	Bulgaria	7	Durankulak	609	Grave	611	128	B363	Bead, torso, elongated	chest/shoulder	0.5	1.4					43.7	28.516667
17650	Bulgaria	7	Durankulak	609	Grave	611	128	B363	Bead, torso, elongated	chest/shoulder	0.4	2.4					43.7	28.516667
17651	Bulgaria	7	Durankulak	609	Grave	611	128	B363	Bead, torso, elongated	chest/shoulder	0.4	2.2					43.7	28.516667
17652	Bulgaria	7	Durankulak	609	Grave	611	128	B363	Bead, torso, elongated	chest/shoulder	0.4	1.4					43.7	28.516667
17653	Bulgaria	7	Durankulak	609	Grave	611	128	B363	Bead, torso, elongated	chest/shoulder	0.4	2					43.7	28.516667
17654	Bulgaria	7	Durankulak	609	Grave	611	128	B363	Bead, torso, elongated	chest/shoulder	0.4	2					43.7	28.516667
17655	Bulgaria	7	Durankulak	609	Grave	611	128	B363	Bead, torso, elongated	chest/shoulder	0.4	1.8					43.7	28.516667
17656	Bulgaria	7	Durankulak	609	Grave	611	128	B363	Bead, torso, elongated	chest/shoulder	0.6	2					43.7	28.516667
17657	Bulgaria	7	Durankulak	609	Grave	611	128	B363	Bead, torso, elongated	chest/shoulder	0.6	1.8					43.7	28.516667
17658	Bulgaria	7	Durankulak	609	Grave	611	128	B363	Bead, torso, elongated	chest/shoulder	0.4	1.8					43.7	28.516667
17659	Bulgaria	7	Durankulak	609	Grave	611	128	B363	Bead, torso, elongated	chest/shoulder	0.4	1.6					43.7	28.516667
17660	Bulgaria	7	Durankulak	609	Grave	611	128	B363	Bead, torso, elongated	chest/shoulder	0.5	1.8					43.7	28.516667
17661	Bulgaria	7	Durankulak	609	Grave	611	128	B363	Bead, torso, elongated	chest/shoulder	0.4	1.8					43.7	28.516667
17662	Bulgaria	7	Durankulak	609	Grave	611	128	B363	Bead, torso, elongated	chest/shoulder	0.4	2					43.7	28.516667
17663	Bulgaria	7	Durankulak	609	Grave	611	128	B363	Bead, torso, elongated	chest/shoulder	0.5	1.7					43.7	28.516667
17664	Bulgaria	7	Durankulak	609	Grave	611	113	B333	Bead, necklace, elongated	left of the chest/shoulder	0.6	2.6					43.7	28.516667
17665	Bulgaria	7	Durankulak	609	Grave	611	113	B333	Bead, necklace, elongated	left of the chest/shoulder	0.6	2.4					43.7	28.516667
17666	Bulgaria	7	Durankulak	609	Grave	611	113	B333	Bead, necklace, elongated	left of the chest/shoulder	0.6	2.2					43.7	28.516667
17667	Bulgaria	7	Durankulak	609	Grave	611	113	B333	Bead, necklace, elongated	left of the chest/shoulder	0.6	2.6					43.7	28.516667
17668	Bulgaria	7	Durankulak	609	Grave	611	113	B333	Bead, necklace, elongated	left of the chest/shoulder	0.6	1					43.7	28.516667
17669	Bulgaria	7	Durankulak	609	Grave	611	113	B333	Bead, necklace, elongated	left of the chest/shoulder	0.6	2.8					43.7	28.516667
17670	Bulgaria	7	Durankulak	609	Grave	611	113	B333	Bead, necklace, elongated	left of the chest/shoulder	0.6	2.2					43.7	28.516667
17671	Bulgaria	7	Durankulak	609	Grave	611	113	B333	Bead, necklace, elongated	left of the chest/shoulder	0.4	2.4					43.7	28.516667
17672	Bulgaria	7	Durankulak	609	Grave	611	113	B333	Bead, necklace, elongated	left of the chest/shoulder	0.4	2.2					43.7	28.516667
17673	Bulgaria	7	Durankulak	609	Grave	611	24	B1112	Bracelet, complete, wide	right forearm			3	4.8			43.7	28.516667
17674	Bulgaria	7	Durankulak	609	Grave	611	121	B343	Bead, belt, elongated	hip	0.4	2.4					43.7	28.516667
17675	Bulgaria	7	Durankulak	609	Grave	611	121	B343	Bead, belt, elongated	hip	0.4	2.3					43.7	28.516667
17676	Bulgaria	7	Durankulak	609	Grave	611	121	B343	Bead, belt, elongated	hip	0.4	2.2					43.7	28.516667
17677	Bulgaria	7	Durankulak	609	Grave	611	121	B343	Bead, belt, elongated	hip	0.6	2.4					43.7	28.516667
17678	Bulgaria	7	Durankulak	609	Grave	611	121	B343	Bead, belt, elongated	hip	0.6	2.5					43.7	28.516667
17679	Bulgaria	7	Durankulak	609	Grave	611	121	B343	Bead, belt, elongated	hip	0.5	2.2					43.7	28.516667
17680	Bulgaria	7	Durankulak	609	Grave	611	121	B343	Bead, belt, elongated	hip	0.5	2.5					43.7	28.516667
17681	Bulgaria	7	Durankulak	609	Grave	611	121	B343	Bead, belt, elongated	hip	0.5	2.4					43.7	28.516667
17682	Bulgaria	7	Durankulak	609	Grave	611	121	B343	Bead, belt, elongated	hip	0.6	2.4					43.7	28.516667
17683	Bulgaria	7	Durankulak	609	Grave	611	121	B343	Bead, belt, elongated	hip	0.5	2.8					43.7	28.516667
17684	Bulgaria	7	Durankulak	609	Grave	611	121	B343	Bead, belt, elongated	hip	0.6	2.4					43.7	28.516667
17685	Bulgaria	7	Durankulak	609	Grave	611	121	B343	Bead, belt, elongated	hip	0.6	2.4					43.7	28.516667
17686	Bulgaria	7	Durankulak	609	Grave	611	121	B343	Bead, belt, elongated	hip	0.5	2.7					43.7	28.516667
17687	Bulgaria	7	Durankulak	609	Grave	611	121	B343	Bead, belt, elongated	hip	0.6	2.7					43.7	28.516667
17688	Bulgaria	7	Durankulak	609	Grave	611	121	B343	Bead, belt, elongated	hip	0.5	2.4					43.7	28.516667
17689	Bulgaria	7	Durankulak	609	Grave	611	121	B343	Bead, belt, elongated	hip	0.4	1.9					43.7	28.516667
17690	Bulgaria	7	Durankulak	609	Grave	611	121	B343	Bead, belt, elongated	hip	0.4	1.8					43.7	28.516667
17691	Bulgaria	7	Durankulak	609	Grave	611	121	B343	Bead, belt, elongated	hip	0.6	2.4					43.7	28.516667
17692	Bulgaria	7	Durankulak	609	Grave	611	121	B343	Bead, belt, elongated	hip	0.6	2.6					43.7	28.516667
17693	Bulgaria	7	Durankulak	609	Grave	611	121	B343	Bead, belt, elongated	hip	0.4	2.8					43.7	28.516667
17733	Bulgaria	7	Durankulak	610	Grave	614A	100	B313	Bead, without context, elongated		0.6	2.2					43.7	28.516667
17734	Bulgaria	7	Durankulak	610	Grave	614A	100	B313	Bead, without context, elongated		0.6	2.4					43.7	28.516667
17738	Bulgaria	7	Durankulak	611	Grave	631	110	B33	Bead, necklace	head							43.7	28.516667
17745	Bulgaria	7	Durankulak	612	Grave	632A	30	B1123	Bracelet, fragmented, elongated or wide		3.2		3				43.7	28.516667
17749	Bulgaria	7	Durankulak	613	Grave	635A	97	B31	Bead, without context								43.7	28.516667
17858	Bulgaria	7	Durankulak	614	Grave	643	113	B333	Bead, necklace, elongated	head	0.5	1.8					43.7	28.516667
17859	Bulgaria	7	Durankulak	614	Grave	643	24	B1112	Bracelet, complete, wide	left upper arm	8.9	11.4	5.8	8.6			43.7	28.516667
